surface_id	kind	current_identity	locations	semantic_owner	history	disposition	compatibility_boundary	retirement_evidence	coordination_owner
persisted-schema-family	persisted-schema	aptl.* and aptl-* schema/version identifiers	src/aptl/core/archival/; src/aptl/core/correlation/; src/aptl/core/evidence_bundle/; src/aptl/backends/raes_repro.py; src/aptl/appliance/; tests/	LilRAE product and immutable historical evidence	a4423db9 and later evidence/appliance commits establish versioned writer history	version with reader; never rewrite sealed or content-addressed records	versioned schema dispatch and core/archival/legacy_manifest.py contain compatibility	new writer schema, one bounded legacy reader, fixture/archive verification, migration window, and explicit unsupported-version diagnostics	OpenRAE/lilrae#3; APTL #970
local-state-root	state-path	.aptl	src/aptl/core/assets.py; src/aptl/core/session.py; src/aptl/core/runstore.py; src/aptl/core/credentials.py; src/aptl/core/deployment/; docker-compose.yml	LilRAE product	00fe44bd distinguishes generated state from installed tracked assets; earlier state history remains in Git	rename later only with a user-data reader/migration policy	the project-root state accessors and no-follow path utilities contain compatibility	ownership-safe migration, permissions and symlink checks, legacy reader window, rollback guidance, and no silent fallback	OpenRAE/lilrae#3; APTL #970
compose-native-identities	image-native-resource	deployment.project_name; org.aptl.realization.*; aptl.lifecycle.project; aptl-* container/network/volume names	src/aptl/core/config.py; src/aptl/core/deployment/; docker-compose.yml; tests/test_deployment_backend.py	LilRAE product runtime	a4423db9 introduced the org.aptl realization labels; subsequent lifecycle work added project-scoped identities	retain technical identity until an ownership-safe native migration is specified	DeploymentBackend project identity and verified Docker labels/IDs are the boundary; names alone never prove ownership	two-workspace/native-ID proof, migration of existing resources, cleanup safety, collision rejection, and teardown evidence	APTL #964; APTL #970; OpenRAE/lilrae#3
generic-systemd-debian-image	image-native-resource	aptl/generic-systemd-base-debian:latest	containers/generic-systemd-base-debian/Dockerfile (producer); src/aptl/core/deployment/_compose_base_substrate.py (local builder and consumer); src/aptl/backends/raes_materializer.py (selector); tests/test_compose_base_substrate.py	LilRAE product runtime	421a836d introduced the Debian generic systemd substrate and its exact local tag	retain the local-only identity; rename later with the product runtime and do not imply a registry release	_SERVICE_BASE_IMAGE selection, the exact build-context map, and the inspected local image ID form the boundary; no GHCR identity exists	replacement local tag builds from the same pinned Dockerfile on a fresh machine and from an offline appliance, RAES realization parity passes, consumers select only the replacement, and the old local tag is no longer required	OpenRAE/lilrae#3; APTL #970
generic-systemd-rhel-image	image-native-resource	aptl/generic-systemd-base:latest	containers/generic-systemd-base/Dockerfile (producer); src/aptl/core/deployment/_compose_base_substrate.py (local builder and consumer); src/aptl/backends/raes_materializer.py (selector); tests/test_compose_base_substrate.py	LilRAE product runtime	421a836d introduced the RHEL-family generic systemd substrate and its exact local tag	retain the local-only identity; rename later with the product runtime and do not imply a registry release	_SERVICE_BASE_IMAGE selection, the exact build-context map, and the inspected local image ID form the boundary; no GHCR identity exists	replacement local tag builds from the same pinned Dockerfile on a fresh machine and from an offline appliance, RAES realization parity passes, consumers select only the replacement, and the old local tag is no longer required	OpenRAE/lilrae#3; APTL #970
wazuh-sidecar-image	image-native-resource	aptl-wazuh-sidecar:local	containers/wazuh-sidecar/Dockerfile (producer); docker-compose.yml wazuh-sidecar-db and wazuh-sidecar-suricata services (build producers and consumers); .github/workflows/checks.yml wazuh-sidecar matrix entry (CI consumer)	TechVault pack integration	73824e26 introduced the current sidecar Dockerfile; the Compose services retain the exact local tag	retain the local-only identity until the TechVault integration is released from its selected owner, then relocate or retire it with the pack	Dockerfile plus the two named Compose services are the complete runtime boundary; the aptl-scan/wazuh-sidecar:ci tag is ephemeral CI output, not a released identity	released digest-qualified replacement integration, Wazuh event parity for both consumers, SBOM and provenance, fresh-machine and installed-wheel builds, consumer migration, and proof the old local tag is unused	APTL #880; APTL #970
legacy-static-route	static-route	project-tree bundle and root docker-compose.yml	src/aptl/core/scenario_bundle.py; src/aptl/core/lab.py; src/aptl/core/assets.py; src/aptl/cli/lab_init.py; src/aptl/core/deployment/; _asset_manifest.py; hatch_build.py; docker-compose.yml	LilRAE product compatibility path and TechVault pack content	00fe44bd bundled the static tree; 4dcf07bd added env-pack consumption; d48d2b7e records the review baseline	retire after parity; #934 does not remove or rename it	ScenarioSourceConfig/ScenarioSourceKind, project_tree_bundle(), ComposeProfileIndex, asset manifest, and lab-init materialization contain the route	same released digest-identified pack proves acquisition, admission, realization, observation, reset, teardown, and installed-wheel behavior; user data has a reader; no config/CLI/test/packaging route selects the static path	APTL #880; APTL #970
techvault-pack	scenario-pack	techvault	OpenRAE/env-packs/packs/techvault; scenarios/techvault*.sdl.yaml; docs/reference/techvault-*; plugins/aptl-techvault-*; src/aptl/validation/techvault_*	TechVault pack; format and current bytes owned by OpenRAE/env-packs	4dcf07bd established env-pack consumption; 7b21cdbd and ebb4db29 added verifier/interaction seams	externally owned scenario pack; reconcile residual copies without treating it as a product	ScenarioBundle, PackIdentity, ScenarioCatalog, env-pack validation, and installed plugin compatibility	released pack/version/digest parity, residual-copy inventory, installed plugin proof, and removal of silent nearby-static fallback	APTL #880; OpenRAE/env-packs
raes-private-artifact-identity	import-root	raes._source.ArtifactIdentity	src/aptl/backends/raes_artifact_availability.py; tests/test_raes_namespace_cutover.py	RAES public API owner; LilRAE product consumer	ced66dcc is the RAES namespace migration anchor; current private import is recorded at d48d2b7e	blocked on a published RAES replacement or a consumer refactor; do not copy upstream internals	TYPE_CHECKING import only; no compatibility package or dynamic import is allowed	public symbol available in the pinned RAES release and AST gate reports zero private use after migration	OpenRAE/rae; OpenRAE/lilrae#3
raes-private-node-address	import-root	raes_processor.compiler.addresses._node_address	src/aptl/backends/raes_artifact_availability.py; src/aptl/backends/raes_runtime_orchestration.py; tests/test_raes_namespace_cutover.py	RAES public API owner; LilRAE product consumer	d48d2b7e records both current runtime uses	blocked on a published RAES replacement or a consumer-owned public address builder	the two enumerated imports are the complete current compatibility boundary; no copied implementation	public address constructor in pinned RAES, parity for both consumers, and AST gate reports zero private use	OpenRAE/rae; OpenRAE/lilrae#3
raes-private-snapshot-payload	import-root	raes_runtime.control_plane_store._snapshot_payload	src/aptl/backends/raes_repro.py; tests/test_raes_namespace_cutover.py	RAES public API owner; LilRAE product consumer	d48d2b7e records the current reproducibility writer use	blocked on a published RAES serializer or public result boundary	the one enumerated import is the complete current compatibility boundary; no copied serializer	public serializer in pinned RAES, run-record parity, legacy-reader verification, and AST gate reports zero private use	OpenRAE/rae; OpenRAE/lilrae#3
raes-manifest-authority-fallback	import-root	BACKEND_SUPPORTED_CONTRACT_IDS ImportError fallback	src/aptl/backends/raes_manifest.py; tests/test_raes_namespace_cutover.py	LilRAE product consumer of RAES contracts	ced66dcc is the namespace cutover anchor; d48d2b7e records the older-package fallback	retire after the minimum RAES version guarantees manifest_authority	the narrow ImportError block is the only fallback; broad import swallowing is forbidden	pinned RAES public symbol, manifest/conformance parity, and removal test proving older packages fail clearly	OpenRAE/rae; OpenRAE/lilrae#3
immutable-evidence	historical-record	accepted ADRs, requirement history, sealed archives, signed release evidence, and content-addressed validation artifacts	docs/adrs/adr-000-use-adrs.md; docs/requirements/; docs/reviews/962-lilrae-readiness/evidence/; src/aptl/core/archival/	immutable historical evidence	repository Git history and each artifact's own digest/signature are authoritative	historical immutable; correct current interpretation around it without rewriting bytes	Git history, schema-version readers, archive seals, signatures, and content digests	reader verification, preserved signature/digest identity, and explicit current guidance that supersedes only interpretation	repository governance; APTL #934
coordination-wording	historical-record	APTL experience and separate APTL-to-LilRAE migration wording in linked issue records	https://github.com/Brad-Edwards/aptl/issues/970; https://github.com/OpenRAE/lilrae/issues/3; docs/reviews/962-lilrae-readiness/backlog-disposition.md; docs/reviews/962-lilrae-readiness/delivery-plan.md	repository governance across the APTL/LilRAE rename	issue #970 and OpenRAE/lilrae#3 are live coordination records read on 2026-09-05	correct repository records now; linked issue owners must reconcile live wording without changing this audit into cross-repository implementation	issue links and this ledger carry the coordination boundary; no code compatibility is implied	linked plans adopt identity continuity, TechVault-as-pack wording, and this ledger before technical cutover or release naming	APTL #970; OpenRAE/lilrae#3
